Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin
First Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,30.88,2,0.0,15.44,0.5
Standard Class,Consumer,United States,Richmond,Virginia,23223,South,Office Supplies,Paper,21.84,3,0.0,10.92,0.5
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Labels,44.4,3,0.0,22.2,0.5
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Binders,33.75,5,0.0,16.875,0.5
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Binders,91.68,3,0.0,45.84,0.5
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Paper,33.36,4,0.0,16.68,0.5
First Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper,39.9,5,0.0,19.95,0.5
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Fasteners,17.9,5,0.0,8.95,0.5
Standard Class,Corporate,United States,Montgomery,Alabama,36116,South,Office Supplies,Envelopes,98.46,9,0.0,49.23,0.5
Standard Class,Home Office,United States,Richmond,Indiana,47374,Central,Office Supplies,Envelopes,101.88,6,0.0,50.94,0.5
Standard Class,Home Office,United States,Roseville,Minnesota,55113,Central,Technology,Copiers,549.99,1,0.0,274.995,0.5
Standard Class,Home Office,United States,Revere,Massachusetts,2151,East,Office Supplies,Binders,37.88,2,0.0,18.94,0.5
Second Class,Corporate,United States,La Porte,Indiana,46350,Central,Office Supplies,Binders,17.38,2,0.0,8.69,0.5
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,43.98,2,0.0,21.99,0.5
Standard Class,Home Office,United States,Trenton,Michigan,48183,Central,Technology,Copiers,549.99,1,0.0,274.995,0.5
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,11.54,2,0.0,5.77,0.5
Standard Class,Corporate,United States,Leominster,Massachusetts,1453,East,Office Supplies,Binders,61.04,4,0.0,30.52,0.5
Standard Class,Corporate,United States,Brentwood,California,94513,West,Office Supplies,Envelopes,23.36,2,0.0,11.68,0.5
Standard Class,Consumer,United States,Brentwood,California,94513,West,Office Supplies,Labels,88.8,6,0.0,44.4,0.5
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Labels,103.6,7,0.0,51.8,0.5
First Class,Corporate,United States,Woonsocket,Rhode Island,2895,East,Office Supplies,Binders,45.78,3,0.0,22.89,0.5
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,23.16,2,0.0,11.58,0.5
Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Fasteners,18.24,3,0.0,9.12,0.5
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,47.18,7,0.0,23.59,0.5
Second Class,Corporate,United States,Las Vegas,Nevada,89115,West,Office Supplies,Paper,97.88,2,0.0,48.94,0.5
Second Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Labels,29.6,2,0.0,14.8,0.5
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Labels,44.4,3,0.0,22.2,0.5
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Art,8.4,5,0.0,4.2,0.5
Standard Class,Home Office,United States,New York City,New York,10011,East,Office Supplies,Envelopes,16.98,1,0.0,8.49,0.5
Second Class,Home Office,United States,Orange,New Jersey,7050,East,Office Supplies,Binders,25.44,6,0.0,12.72,0.5
Standard Class,Corporate,United States,Long Beach,California,90805,West,Office Supplies,Fasteners,7.16,2,0.0,3.58,0.5
Second Class,Corporate,United States,Atlanta,Georgia,30318,South,Office Supplies,Binders,34.54,1,0.0,17.27,0.5
Second Class,Corporate,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Binders,17.38,2,0.0,8.69,0.5
First Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Envelopes,23.99,1,0.0,11.995,0.5
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,13.48,2,0.0,6.74,0.5
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Envelopes,33.96,2,0.0,16.98,0.5
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Office Supplies,Envelopes,11.16,2,0.0,5.58,0.5
Standard Class,Consumer,United States,Mishawaka,Indiana,46544,Central,Office Supplies,Binders,128.4,3,0.0,64.2,0.5
Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,15.96,2,0.0,7.98,0.5
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,12.94,2,0.0,6.47,0.5
Standard Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Paper,50.04,6,0.0,25.02,0.5
Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Envelopes,47.98,2,0.0,23.99,0.5
Standard Class,Consumer,United States,Lafayette,Louisiana,70506,South,Technology,Machines,479.97,3,0.0,239.985,0.5
Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Paper,97.88,2,0.0,48.94,0.5
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,47.88,6,0.0,23.94,0.5
Second Class,Corporate,United States,Summerville,South Carolina,29483,South,Technology,Phones,79.1,2,0.0,39.55,0.5
Standard Class,Consumer,United States,Long Beach,California,90805,West,Office Supplies,Labels,29.6,2,0.0,14.8,0.5
Second Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,48.94,1,0.0,24.47,0.5
Same Day,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Binders,28.85,5,0.0,14.425,0.5
Standard Class,Consumer,United States,Alexandria,Virginia,22304,South,Office Supplies,Fasteners,25.06,7,0.0,12.53,0.5
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,0.5
Standard Class,Consumer,United States,Bakersfield,California,93309,West,Office Supplies,Labels,74.0,5,0.0,37.0,0.5
Standard Class,Consumer,United States,San Clemente,California,92672,West,Office Supplies,Envelopes,71.97,3,0.0,35.985,0.5
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Furnishings,595.38,6,0.0,297.69,0.5
Second Class,Consumer,United States,Richmond,Virginia,23223,South,Office Supplies,Binders,17.76,2,0.0,8.88,0.5
Standard Class,Consumer,United States,Columbus,Indiana,47201,Central,Office Supplies,Paper,7.98,1,0.0,3.99,0.5
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Office Supplies,Paper,16.68,2,0.0,8.34,0.5
Second Class,Consumer,United States,Longview,Washington,98632,West,Office Supplies,Fasteners,18.24,3,0.0,9.12,0.5
Standard Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Fasteners,17.9,5,0.0,8.771,0.4900000000000001
Standard Class,Consumer,United States,Lakewood,New Jersey,8701,East,Office Supplies,Fasteners,17.9,5,0.0,8.771,0.4900000000000001
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Paper,279.9,5,0.0,137.151,0.4900000000000001
Standard Class,Consumer,United States,Wichita,Kansas,67212,Central,Office Supplies,Paper,279.9,5,0.0,137.151,0.4900000000000001
Standard Class,Consumer,United States,Roswell,Georgia,30076,South,Office Supplies,Paper,279.9,5,0.0,137.151,0.4900000000000001
Second Class,Corporate,United States,Columbia,South Carolina,29203,South,Office Supplies,Binders,45.66,3,0.0,22.3734,0.49000000000000005
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,Paper,164.88,3,0.0,80.7912,0.49000000000000005
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Paper,17.34,3,0.0,8.4966,0.49000000000000005
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,77.52,2,0.0,37.9848,0.49000000000000005
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,0.49000000000000005
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,348.84,9,0.0,170.9316,0.49000000000000005
Standard Class,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Binders,115.36,7,0.0,56.5264,0.49000000000000005
Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Office Supplies,Binders,49.44,3,0.0,24.2256,0.49000000000000005
Second Class,Home Office,United States,Des Moines,Iowa,50315,Central,Office Supplies,Binders,25.9,5,0.0,12.691,0.49000000000000005
First Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,11.76,2,0.0,5.7624,0.49000000000000005
Second Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Binders,152.76,6,0.0,74.8524,0.49000000000000005
Second Class,Corporate,United States,Orange,New Jersey,7050,East,Office Supplies,Binders,5.76,2,0.0,2.8224,0.49000000000000005
First Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Paper,11.76,2,0.0,5.7624,0.49000000000000005
First Class,Corporate,United States,Norwich,Connecticut,6360,East,Office Supplies,Paper,11.34,1,0.0,5.5566,0.49000000000000005
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,0.49000000000000005
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,17.34,3,0.0,8.4966,0.49000000000000005
Second Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Paper,31.08,6,0.0,15.2292,0.49000000000000005
Standard Class,Home Office,United States,San Francisco,California,94109,West,Office Supplies,Labels,11.52,4,0.0,5.6448,0.49000000000000005
Standard Class,Home Office,United States,Los Angeles,California,90049,West,Office Supplies,Labels,2.88,1,0.0,1.4112,0.49000000000000005
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,204.95,5,0.0,100.4255,0.49000000000000005
Second Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper,17.34,3,0.0,8.4966,0.49000000000000005
Same Day,Consumer,United States,Utica,New York,13501,East,Office Supplies,Labels,11.52,4,0.0,5.6448,0.49000000000000005
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Labels,5.76,2,0.0,2.8224,0.49000000000000005
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Binders,319.9,5,0.0,156.751,0.49000000000000005
Standard Class,Home Office,United States,Perth Amboy,New Jersey,8861,East,Office Supplies,Paper,11.76,2,0.0,5.7624,0.49000000000000005
First Class,Consumer,United States,Saint Louis,Missouri,63116,Central,Office Supplies,Paper,11.76,2,0.0,5.7624,0.49000000000000005
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Paper,40.14,6,0.0,19.6686,0.49000000000000005
Standard Class,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Binders,33.48,2,0.0,16.4052,0.49000000000000005
First Class,Consumer,United States,Manchester,Connecticut,6040,East,Office Supplies,Labels,5.76,2,0.0,2.8224,0.49000000000000005
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,77.52,2,0.0,37.9848,0.49000000000000005
Standard Class,Corporate,United States,Fairfield,Connecticut,6824,East,Technology,Phones,14.99,1,0.0,7.3451,0.49000000000000005
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,0.49000000000000005
Standard Class,Home Office,United States,Richmond,Indiana,47374,Central,Office Supplies,Paper,11.34,1,0.0,5.5566,0.49000000000000005
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Paper,45.36,4,0.0,22.2264,0.49000000000000005
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Labels,23.04,8,0.0,11.2896,0.49000000000000005
Standard Class,Consumer,United States,Gulfport,Mississippi,39503,South,Office Supplies,Envelopes,48.69,9,0.0,23.8581,0.49000000000000005
Standard Class,Consumer,United States,Midland,Michigan,48640,Central,Office Supplies,Binders,11.52,4,0.0,5.6448,0.49000000000000005
Standard Class,Consumer,United States,Richmond,Kentucky,40475,South,Office Supplies,Labels,294.93,3,0.0,144.5157,0.49000000000000005
Standard Class,Home Office,United States,Richmond,Kentucky,40475,South,Office Supplies,Binders,2.88,1,0.0,1.4112,0.49000000000000005
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Binders,11.12,4,0.0,5.4488,0.49000000000000005
Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,22.68,2,0.0,11.1132,0.49000000000000005
Standard Class,Corporate,United States,Lafayette,Indiana,47905,Central,Office Supplies,Binders,34.37,7,0.0,16.8413,0.49000000000000005
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,34.68,6,0.0,16.9932,0.49000000000000005
Second Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper,164.88,3,0.0,80.7912,0.49000000000000005
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Labels,5.76,2,0.0,2.8224,0.49000000000000005
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Paper,155.04,4,0.0,75.9696,0.49000000000000005
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,15.54,3,0.0,7.6146,0.49000000000000005
Second Class,Corporate,United States,Inglewood,California,90301,West,Office Supplies,Paper,116.28,3,0.0,56.9772,0.49000000000000005
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,5.76,2,0.0,2.8224,0.49000000000000005
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,0.49000000000000005
First Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Paper,204.95,5,0.0,100.4255,0.49000000000000005
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Paper,116.28,3,0.0,56.9772,0.49000000000000005
Same Day,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Paper,13.44,3,0.0,6.5856,0.49000000000000005
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,34.68,6,0.0,16.9932,0.49000000000000005
Second Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Paper,12.6,3,0.0,6.174,0.49000000000000005
Standard Class,Home Office,United States,Fargo,North Dakota,58103,Central,Office Supplies,Binders,25.9,5,0.0,12.691,0.49000000000000005
Standard Class,Consumer,United States,Richmond,Virginia,23223,South,Office Supplies,Binders,43.04,8,0.0,21.0896,0.49000000000000005
Same Day,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Paper,45.36,4,0.0,22.2264,0.49000000000000005
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,77.6,4,0.0,38.024,0.49000000000000005
Second Class,Corporate,United States,West Allis,Wisconsin,53214,Central,Office Supplies,Binders,8.52,3,0.0,4.1748,0.49000000000000005
Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Binders,2.78,1,0.0,1.3622,0.49000000000000005
First Class,Consumer,United States,East Orange,New Jersey,7017,East,Office Supplies,Paper,204.95,5,0.0,100.4255,0.49000000000000005
Standard Class,Consumer,United States,Trenton,Michigan,48183,Central,Office Supplies,Binders,2.88,1,0.0,1.4112,0.49000000000000005
First Class,Home Office,United States,San Francisco,California,94109,West,Office Supplies,Paper,164.88,3,0.0,80.7912,0.49000000000000005
Second Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Paper,48.87,9,0.0,23.9463,0.49000000000000005
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,5.88,1,0.0,2.8812,0.49000000000000005
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,17.34,3,0.0,8.4966,0.49000000000000005
Standard Class,Consumer,United States,Richmond,Virginia,23223,South,Office Supplies,Binders,15.6,5,0.0,7.644,0.49000000000000005
Standard Class,Home Office,United States,Los Angeles,California,90045,West,Office Supplies,Paper,11.76,2,0.0,5.7624,0.49000000000000005
First Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,80.88,3,0.0,39.6312,0.49000000000000005
Standard Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper,116.28,3,0.0,56.9772,0.49000000000000005
Standard Class,Corporate,United States,Belleville,New Jersey,7109,East,Furniture,Furnishings,77.6,4,0.0,38.024,0.49000000000000005
Second Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Paper,116.28,3,0.0,56.9772,0.49000000000000005
Same Day,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Binders,127.96,2,0.0,62.7004,0.49000000000000005
Standard Class,Consumer,United States,Riverside,California,92503,West,Office Supplies,Paper,22.92,3,0.0,11.2308,0.49
Standard Class,Home Office,United States,Columbia,Maryland,21044,East,Office Supplies,Binders,37.66,7,0.0,18.4534,0.49
Second Class,Home Office,United States,Grand Rapids,Michigan,49505,Central,Office Supplies,Paper,19.44,3,0.0,9.5256,0.49
Standard Class,Consumer,United States,Norwich,Connecticut,6360,East,Office Supplies,Binders,10.36,2,0.0,5.0764,0.49
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Furniture,Furnishings,62.82,3,0.0,30.7818,0.49
Standard Class,Home Office,United States,Clinton,Maryland,20735,East,Office Supplies,Paper,28.9,5,0.0,14.161,0.49
Standard Class,Home Office,United States,Virginia Beach,Virginia,23464,South,Office Supplies,Binders,9.64,2,0.0,4.7236,0.49
Second Class,Consumer,United States,Rockville,Maryland,20852,East,Office Supplies,Binders,7.38,1,0.0,3.6162,0.49
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,54.96,1,0.0,26.9304,0.49
Standard Class,Consumer,United States,Grand Rapids,Michigan,49505,Central,Office Supplies,Binders,54.9,5,0.0,26.901,0.49
Standard Class,Consumer,United States,Roswell,Georgia,30076,South,Office Supplies,Envelopes,15.28,2,0.0,7.4872,0.49
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Labels,8.64,3,0.0,4.2336,0.49
Standard Class,Consumer,United States,Edmonds,Washington,98026,West,Office Supplies,Paper,81.98,2,0.0,40.1702,0.49
